TR1_x,MOS1_x,D1_x,L1_x,C1_x,PWM1_x,OPTO1_x,ATX_CONN_x,TR1_y,MOS1_y,D1_y,L1_y,C1_y,PWM1_y,OPTO1_y,ATX_CONN_y,cost
1,4,1,1,0,8,0,3,0,3,8,9,1,9,8,8,40.659272589360036
6,7,4,2,5,5,1,1,3,9,0,6,4,1,6,5,44.95768385760742
5,4,7,1,1,4,3,0,9,0,8,6,8,9,1,3,46.05016121454998
4,3,6,7,2,5,9,8,1,1,4,5,5,3,2,3,40.32851086316124
2,6,8,5,3,5,4,3,7,4,3,0,0,6,1,9,29.046106524988307
5,7,4,3,8,9,2,0,3,6,2,8,4,6,8,1,35.94450297051359
6,1,7,4,0,8,5,4,9,6,8,8,1,4,1,6,40.53761521734401
2,0,8,8,4,9,2,2,7,4,2,1,8,3,5,8,35.98707127560972
8,9,1,4,0,9,1,1,0,5,5,3,3,1,7,8,39.83020679829796
7,2,8,6,8,4,5,8,8,4,9,3,3,6,7,7,31.202664625237077
1,3,5,9,3,3,1,0,3,1,0,8,9,0,0,5,25.50688853382324
1,3,7,8,9,7,3,1,8,4,3,2,9,6,1,6,33.45490019396847
5,6,0,0,5,3,4,3,6,7,1,6,1,8,7,1,37.47168845437211
7,1,8,1,2,7,3,0,8,0,0,3,6,7,6,2,46.890253748660776
6,7,6,3,3,9,0,0,4,4,8,4,0,8,5,0,45.573092545090034
9,8,2,8,2,9,3,1,7,8,0,1,1,1,6,9,56.57821329252863
3,9,9,6,9,5,3,3,9,0,1,9,8,4,5,4,40.48372069284286
4,5,0,9,1,8,8,2,7,1,7,9,1,3,4,5,38.620853589977585
1,5,2,8,9,0,4,2,3,4,7,4,8,8,1,4,39.080816124673255
1,8,4,9,5,4,7,0,1,2,4,3,3,8,4,1,36.50254803248723
6,0,5,4,7,6,0,1,4,0,2,2,8,8,1,2,44.28933181865576
8,5,8,0,5,5,3,5,0,9,2,4,0,3,1,8,49.028762944137256
6,2,6,4,1,0,7,4,9,5,3,2,6,7,5,3,30.150674745802867
3,3,5,1,5,6,5,2,0,6,4,4,8,8,0,9,31.78410705622859
4,1,6,5,9,1,9,8,0,9,5,6,8,6,3,8,35.83819866705852
3,5,5,4,4,5,6,2,5,9,1,8,6,6,6,9,28.93190807605697
9,6,0,4,6,9,7,7,4,8,4,3,9,5,7,3,32.67422319117804
8,2,4,9,1,4,0,3,7,1,8,5,3,3,0,7,37.26114769620787
9,7,9,6,6,2,1,8,1,6,3,7,3,0,6,7,36.693085419894814
0,3,7,8,5,9,6,7,8,1,8,9,7,8,8,7,38.34509455406274
4,4,7,4,1,3,5,8,3,8,3,7,4,4,5,1,32.978386275360926
3,1,6,8,6,0,6,0,6,6,5,7,9,9,7,5,36.86841095128427
4,6,8,3,3,6,0,5,6,8,9,7,4,7,6,6,24.257674888039535
2,2,8,6,9,1,2,4,7,9,0,9,0,6,0,6,53.79862252179631
5,7,5,4,4,8,1,0,3,5,6,6,1,0,0,3,29.84555813102984
3,9,9,7,5,9,1,4,0,2,3,4,2,9,2,1,32.58293889599704
9,4,6,3,9,1,9,5,0,9,6,1,3,4,1,8,46.76967840469905
6,1,5,6,1,5,2,2,5,8,0,7,6,7,6,8,33.720617687991954
4,8,7,9,5,1,7,7,9,7,6,4,3,4,3,9,32.40592422393126
9,5,7,2,3,4,4,4,6,0,5,7,5,5,9,8,35.536765351882146
0,3,3,7,3,7,0,4,8,1,6,8,7,7,1,3,39.28514448950865
6,4,5,8,5,8,4,4,3,9,7,8,6,5,4,3,28.729897761194845
1,5,8,7,9,9,4,5,3,1,2,4,8,4,3,2,29.781392971610384
4,8,0,4,0,4,7,5,0,2,8,2,9,7,7,2,45.71763293000895
0,1,9,9,1,1,6,9,4,6,0,4,3,8,9,9,44.74096501907279
3,6,7,9,4,9,9,4,8,7,4,6,9,0,1,1,33.36662305409267
2,1,0,7,7,0,4,3,8,2,6,9,4,3,4,4,29.545047618665475
9,8,2,2,0,4,9,7,3,3,4,1,2,9,4,4,47.5325050751719
6,8,7,1,0,5,4,1,4,8,7,9,6,9,0,3,31.189476198792395
9,0,9,2,8,4,9,7,9,4,0,7,7,2,6,5,48.68062865615045
6,5,2,6,4,8,5,6,5,1,5,7,6,0,4,8,25.742008695315466
0,7,0,8,9,3,8,4,8,6,3,5,7,4,2,7,39.22092787124682
0,4,0,3,2,4,7,3,9,8,8,1,7,6,7,7,24.76806633367679
8,6,9,2,4,5,4,4,2,3,8,1,6,8,0,4,40.410816201601996
9,7,7,5,8,9,3,0,9,8,5,8,6,6,6,5,34.068819877598294
7,2,9,1,1,2,2,7,6,8,5,7,8,6,1,4,37.40900946491465
5,5,6,7,0,1,4,1,9,8,5,8,9,3,3,6,41.433072147479294
1,4,0,0,5,3,6,2,1,0,5,4,5,8,9,1,35.33494198884948
9,9,7,7,0,4,2,7,6,3,9,4,7,8,1,5,42.36197599285247
9,6,7,3,9,4,0,3,4,4,4,6,5,0,9,9,34.77710599287751
5,3,4,1,4,0,5,1,3,9,2,0,7,9,2,4,38.32028501312281
5,2,5,8,2,7,5,6,6,8,8,4,4,4,1,8,34.03950436621893
5,4,1,5,9,3,0,8,1,8,7,4,6,7,9,5,24.578432554949845
9,1,4,1,0,4,1,3,3,7,6,2,0,7,1,8,37.664330056984525
2,7,8,9,7,6,0,3,6,5,6,2,9,4,5,7,28.07889852215631
7,5,5,5,6,3,3,0,3,1,8,0,4,1,9,0,39.75276309115314
5,2,3,8,9,3,0,8,3,9,1,3,3,5,4,4,31.38522708601838
2,0,0,3,5,2,6,1,1,2,5,9,0,4,8,1,36.21990855164873
7,5,9,7,3,0,4,0,7,8,1,8,9,8,7,0,43.211384876894535
7,7,1,5,2,2,9,8,6,7,1,9,1,4,9,5,58.03962956141655
6,8,7,9,1,8,6,3,9,4,8,6,1,3,7,6,28.36699343949002
5,6,1,6,4,2,1,5,7,6,5,5,5,7,1,2,40.17578887116796
8,9,8,1,5,0,9,5,0,8,5,6,6,4,4,1,44.400019020114634
